ix,start_index,end_index
1678,39054,39088
1679,39089,39126
1680,39127,39158
1681,39159,39187
1682,39188,39217
1683,39218,39257
1684,39258,39281
1685,39282,39300
1686,39301,39329
1687,39330,39346
1688,39347,39348
1689,39349,39379
1690,39380,39420
1691,39421,39461
1692,39462,39504
1693,39505,39542
1694,39543,39586
1695,39587,39590
1696,39591,39608
1697,39609,39609
1698,39610,39651
1699,39652,39691
1700,39692,39692
1701,39693,39741
1702,39742,39779
1708,39780,39781
1709,39782,39788
1710,39789,39802
1711,39803,39803
1712,39804,39828
1713,39829,39868
1714,39869,39887
1715,39888,39890
1716,39891,39891
1717,39892,39923
1719,39924,39964
1720,39965,39997
1721,39998,40031
1722,40032,40068
1723,40069,40069
1724,40070,40070
1725,40071,40104
1727,40105,40131
1728,40132,40132
1729,40133,40133
1730,40134,40134
1731,40135,40135
1732,40136,40166
1733,40167,40193
1734,40194,40215
1735,40216,40255
1736,40256,40258
1737,40259,40288
1738,40289,40289
1739,40290,40329
1740,40330,40363
1741,40364,40375
1742,40376,40424
1743,40425,40453
1744,40454,40481
1745,40482,40484
1746,40485,40518
1747,40519,40545
